age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,prénom,téléphone
45,services,married,secondary,no,1807,yes,no,cellular,16,may,180,2,-1,0,success,tyr,3355899
47,entrepreneur,divorced,primary,no,162,no,no,cellular,18,apr,122,2,-1,0,unknown,alyssia,3358758
33,retired,divorced,tertiary,no,3401,no,no,cellular,3,jun,806,2,-1,0,unknown,dazbog,3353879
35,management,married,secondary,no,2843,no,no,telephone,15,may,65,3,115,0,unknown,paul,3353682
42,self-employed,married,secondary,no,838,yes,no,unknown,22,apr,81,2,292,0,unknown,eustaquio,3356106
26,blue-collar,married,primary,no,2374,no,no,cellular,17,may,86,4,-1,0,unknown,fiona,3359243
28,management,married,secondary,no,168,yes,no,telephone,10,apr,343,2,-1,0,unknown,priam,3355719
40,retired,divorced,secondary,no,9004,no,no,cellular,30,feb,248,1,-1,3,unknown,'aisha,3358912
26,management,single,tertiary,no,283,yes,no,telephone,9,aug,178,2,-1,2,unknown,jaye,3357502
30,entrepreneur,married,secondary,no,973,no,yes,cellular,29,apr,264,14,-1,7,unknown,juli,3351151
62,unemployed,divorced,tertiary,no,-193,no,yes,cellular,9,may,227,3,91,1,other,enitan,3352510
25,management,single,secondary,yes,46,yes,no,cellular,11,may,162,2,135,0,success,barnabas,3354059
33,unemployed,married,secondary,no,127,no,no,unknown,28,nov,242,4,-1,0,unknown,mark,3356263
51,entrepreneur,divorced,tertiary,no,0,yes,no,cellular,23,may,328,1,-1,0,unknown,shifra,3355185
35,technician,single,tertiary,no,427,yes,no,cellular,23,may,193,3,-1,0,unknown,gareth,3354016
35,self-employed,divorced,secondary,no,465,yes,no,cellular,11,may,741,6,-1,0,success,johnny,3356984
57,housemaid,married,tertiary,no,679,yes,no,cellular,3,aug,246,1,328,0,unknown,shevon,3359452
53,blue-collar,single,secondary,no,122,yes,no,cellular,30,jun,434,1,-1,0,failure,nikon,3353147
23,management,single,secondary,no,2326,no,no,unknown,30,sep,122,1,-1,0,success,bice,3351564
66,blue-collar,single,unknown,no,191,yes,no,unknown,19,aug,578,2,-1,0,unknown,ganesha,3352884
80,services,married,primary,no,1177,no,no,cellular,20,jun,21,1,-1,0,success,livia (2),3351027
40,management,married,unknown,no,-675,yes,no,cellular,13,may,96,1,-1,0,unknown,christabel,3354838
47,self-employed,married,secondary,no,536,no,no,cellular,27,nov,200,5,-1,0,unknown,milogost,3354447
44,management,single,secondary,no,-8,yes,no,cellular,24,may,1044,1,-1,0,unknown,fernando,3356064
90,admin.,single,tertiary,no,1791,yes,no,cellular,7,aug,204,6,-1,0,unknown,alte,3352846
55,blue-collar,married,secondary,no,386,no,no,cellular,28,feb,74,5,-1,0,unknown,kaneonuskatew,3356151
39,blue-collar,single,secondary,no,3810,no,no,cellular,13,jan,1336,4,-1,0,success,esmail,3358311
40,management,married,tertiary,no,967,yes,no,cellular,26,may,162,2,-1,0,failure,fabius,3357138
53,entrepreneur,divorced,primary,no,526,yes,no,cellular,18,mar,395,3,-1,0,unknown,annuska,3354855
36,blue-collar,married,tertiary,no,4590,no,no,unknown,15,oct,551,1,-1,3,other,tallulah,3354890
40,unemployed,divorced,secondary,no,876,yes,no,cellular,21,may,107,1,-1,0,unknown,muriel,3357517
29,technician,single,secondary,no,24,no,no,telephone,4,nov,200,4,-1,0,unknown,elfriede,3355589
51,technician,divorced,secondary,no,-58,yes,no,cellular,30,jul,126,1,246,0,unknown,cesare,3350042
60,retired,married,secondary,no,30,no,no,cellular,14,aug,195,1,-1,1,unknown,bolivar,3354620
45,services,married,secondary,no,3588,yes,no,cellular,23,jun,191,2,-1,0,unknown,loviisa,3353553
25,management,married,tertiary,no,6538,no,yes,cellular,30,jun,858,2,353,0,other,mirjam,3360711
28,entrepreneur,married,primary,no,-42,yes,no,cellular,3,may,470,2,-1,0,unknown,dorita,3354606
31,admin.,married,secondary,no,180,no,no,cellular,12,aug,170,1,183,0,unknown,parisa,3356030
39,self-employed,single,tertiary,no,204,no,no,cellular,5,apr,276,2,-1,0,failure,lenz,3354127
29,admin.,married,primary,no,2129,yes,no,cellular,5,jun,162,2,98,0,unknown,sefton,3358229
44,management,married,tertiary,no,92,yes,no,cellular,15,jan,210,3,-1,0,unknown,alcyone,3355657
29,entrepreneur,married,tertiary,no,11115,no,no,cellular,22,jul,278,1,-1,0,unknown,brandi,3358844
44,retired,married,primary,no,771,no,no,cellular,18,may,81,1,-1,2,unknown,raine,3351586
31,retired,single,secondary,no,19,no,no,cellular,9,jul,83,2,-1,1,unknown,szymon,3359298
34,management,married,secondary,no,537,yes,no,cellular,25,jan,536,2,-1,0,unknown,ige,3359663
36,blue-collar,single,primary,no,2524,no,no,cellular,14,jun,492,1,-1,0,other,deiniol,3350532
33,blue-collar,married,secondary,no,488,yes,no,unknown,11,nov,103,1,-1,3,failure,vjekoslava,3360162
35,admin.,married,tertiary,no,-59,yes,no,cellular,14,may,64,1,-1,0,success,phillipa,3354366
32,services,married,primary,no,664,no,no,cellular,6,may,926,1,352,0,failure,diana,3356747
35,retired,divorced,primary,no,1744,yes,no,cellular,11,jul,214,10,184,1,failure,ofelia,3358854
58,retired,married,tertiary,no,2321,yes,no,cellular,5,aug,342,2,-1,0,unknown,mikko,3356947
37,housemaid,married,primary,no,2490,no,no,cellular,14,apr,148,1,-1,0,unknown,dionysus,3352032
45,blue-collar,married,unknown,no,3304,no,no,cellular,14,oct,657,4,-1,0,unknown,jillian,3359747
37,management,married,secondary,no,244,no,no,cellular,30,jun,458,4,-1,0,unknown,ingeborg,3359673
47,unemployed,married,secondary,no,1123,no,no,cellular,9,feb,384,2,183,0,unknown,petrona,3355649
34,admin.,married,tertiary,no,168,yes,yes,cellular,5,oct,585,3,95,4,unknown,morven,3355040
48,blue-collar,single,secondary,no,127,yes,no,cellular,13,feb,205,1,-1,0,unknown,marielle,3354083
34,blue-collar,married,tertiary,no,196,no,no,unknown,7,apr,55,1,-1,0,unknown,gilah,3350102
26,blue-collar,married,secondary,no,-357,yes,yes,unknown,29,aug,28,4,-1,0,unknown,celina,3358600
37,unemployed,married,tertiary,no,68,no,no,unknown,6,apr,282,3,-1,1,unknown,neville,3359274
38,self-employed,married,primary,no,4401,yes,no,cellular,14,apr,22,1,-1,0,unknown,graziella,3356547
33,technician,married,primary,no,978,yes,no,cellular,15,sep,12,1,-1,0,unknown,eleanore,3359154
77,admin.,divorced,secondary,no,0,no,no,cellular,28,jun,703,2,-1,0,unknown,cymone,3352959
33,retired,married,secondary,no,437,yes,no,unknown,28,oct,1141,2,-1,0,success,neasa,3353823
33,retired,married,tertiary,no,1649,yes,no,cellular,30,may,633,13,133,0,unknown,roman,3354493
55,management,married,tertiary,no,2744,no,no,cellular,18,may,198,4,332,0,unknown,rigel,3354904
34,retired,single,secondary,no,3561,yes,no,unknown,7,jun,309,2,-1,0,unknown,marlena,3351997
41,services,single,secondary,no,3868,no,no,cellular,2,may,164,2,-1,0,unknown,lynsey,3356001
34,retired,single,primary,no,513,yes,no,cellular,3,apr,473,1,-1,0,unknown,sa'd,3359357
55,admin.,single,secondary,no,70,yes,no,unknown,7,may,324,1,-1,0,unknown,sisko,3356828
34,self-employed,single,tertiary,no,386,no,no,cellular,27,aug,68,1,183,0,unknown,donal,3360848
30,services,married,primary,no,168,yes,no,cellular,19,jun,302,1,-1,8,other,kimball,3354026
26,retired,single,tertiary,no,45248,yes,no,cellular,14,nov,539,3,-1,0,other,charnette,3359232
33,blue-collar,single,unknown,no,0,yes,yes,cellular,15,aug,1767,6,355,1,unknown,sydne,3355123
28,technician,single,secondary,no,639,no,no,cellular,29,mar,307,3,-1,0,unknown,lochlann,3357015
57,admin.,single,secondary,no,1873,yes,no,cellular,5,sep,696,2,-1,0,other,maartje,3356033
52,retired,divorced,tertiary,no,135,no,no,cellular,7,aug,506,1,94,0,success,donatien,3352996
26,technician,divorced,primary,no,205,yes,yes,unknown,29,may,15,1,92,0,success,jenci,3360907
30,technician,single,tertiary,yes,-6,no,no,cellular,19,nov,67,4,-1,0,unknown,khaleel,3355507
43,self-employed,single,unknown,no,2,no,yes,cellular,20,jul,119,1,93,0,unknown,halldóra,3350273
35,student,married,primary,no,555,no,no,cellular,10,may,609,1,230,0,unknown,rodina,3358440
57,technician,married,tertiary,no,-634,yes,no,cellular,13,aug,331,2,-1,0,unknown,evgeni,3357597
34,technician,married,primary,no,1364,yes,no,cellular,18,aug,1148,9,-1,0,unknown,konstantin,3350598
35,admin.,single,secondary,no,1371,no,yes,cellular,21,may,255,2,-1,0,success,caitlin,3355888
29,management,married,secondary,no,2987,no,yes,cellular,3,jun,181,3,-1,2,unknown,arista,3360068
29,admin.,married,primary,no,855,no,no,unknown,29,may,630,5,-1,1,failure,helen,3350718
70,management,married,secondary,no,507,yes,no,cellular,20,jun,140,3,319,0,unknown,róisín,3354652
29,services,married,primary,no,616,no,no,cellular,5,jul,45,4,-1,0,unknown,raeburn,3354285
57,unknown,married,unknown,no,131,no,no,cellular,6,jul,1094,3,-1,0,unknown,akinyi,3350750
68,housemaid,married,primary,no,306,no,no,cellular,30,may,1107,1,-1,0,failure,hrothgar,3356859
37,blue-collar,married,secondary,no,67,no,no,telephone,9,may,126,2,188,0,success,hannes,3359385
36,technician,single,secondary,no,2717,yes,no,cellular,18,feb,119,2,-1,0,unknown,luca (2),3356331
25,management,single,secondary,no,488,no,no,cellular,12,jul,1473,1,-1,1,unknown,nelly,3352492
48,services,married,secondary,no,1,yes,no,cellular,23,may,618,3,366,0,unknown,bertram,3356429
40,blue-collar,single,tertiary,no,234,no,no,cellular,22,jul,104,1,-1,0,unknown,frederica,3353093
54,admin.,single,tertiary,no,3043,no,no,cellular,30,jul,460,2,-1,0,unknown,henrike,3350400
46,blue-collar,married,primary,no,2764,yes,yes,cellular,29,sep,154,1,91,0,unknown,danika,3355980
79,management,married,tertiary,no,706,no,no,unknown,30,apr,576,1,289,0,failure,iwan,3350321
48,services,single,secondary,no,192,yes,no,cellular,13,may,239,4,-1,0,unknown,torger,3351147
47,admin.,married,secondary,no,7724,yes,no,unknown,14,may,671,3,95,0,unknown,ágota,3353929
73,blue-collar,married,tertiary,no,1177,no,no,cellular,23,oct,358,2,-1,0,unknown,briana,3352335
30,retired,single,primary,no,4943,no,no,cellular,18,jun,460,2,-1,1,success,javaid,3354329
36,blue-collar,single,tertiary,no,2630,no,no,cellular,29,jun,377,2,-1,7,unknown,meryem,3359127
32,retired,single,tertiary,no,668,yes,no,unknown,30,may,320,1,-1,0,unknown,severina,3354865
30,management,married,tertiary,no,63,no,no,cellular,7,oct,300,2,-1,0,unknown,rodolph,3360025
70,admin.,married,secondary,no,255,no,no,cellular,10,feb,250,2,-1,1,unknown,laelia,3357943
34,management,single,secondary,no,1022,yes,no,cellular,24,apr,1560,2,182,2,failure,mindy,3356952
39,management,married,tertiary,no,269,yes,no,cellular,18,jun,322,1,126,0,unknown,cain,3358462
43,services,divorced,primary,no,8023,yes,no,cellular,3,jul,130,9,-1,0,unknown,alcippe,3351509
32,management,married,secondary,no,0,yes,no,cellular,8,jul,727,1,105,0,unknown,bethania,3351366
36,blue-collar,married,secondary,no,5744,no,yes,telephone,20,feb,148,4,-1,0,unknown,hyman,3359122
78,services,married,primary,no,7968,yes,no,cellular,24,aug,186,1,-1,1,unknown,basia (2),3353563
34,services,married,primary,no,0,no,yes,unknown,20,may,288,1,415,3,unknown,hayder,3359714
43,unemployed,single,tertiary,no,701,no,yes,cellular,18,may,724,1,-1,1,unknown,thracius,3357029
59,technician,single,tertiary,no,339,yes,no,telephone,7,may,114,3,-1,5,unknown,saffie,3357777
43,blue-collar,divorced,secondary,no,0,yes,no,unknown,21,aug,536,3,-1,0,unknown,rikárd,3352586
31,technician,single,secondary,no,1766,no,yes,cellular,21,aug,647,2,-1,0,unknown,antun,3354593
54,technician,married,tertiary,no,44,yes,no,cellular,8,jun,247,5,-1,0,unknown,julija,3356853
33,management,married,secondary,no,-461,yes,no,cellular,14,may,146,2,-1,1,unknown,jöran,3355141
37,admin.,single,primary,no,308,yes,yes,cellular,8,apr,29,1,-1,0,unknown,sebestyén,3357807
38,housemaid,married,secondary,no,870,yes,no,cellular,4,sep,174,1,180,0,success,henning,3358634
35,technician,single,primary,no,945,yes,yes,cellular,19,jun,43,1,-1,0,unknown,joséphine,3351898
33,retired,married,tertiary,no,1026,yes,no,cellular,25,jun,189,1,-1,0,unknown,shahpur,3357924
52,management,married,tertiary,no,114,no,no,cellular,23,jun,219,1,-1,0,unknown,thyrza,3351717
47,blue-collar,married,tertiary,no,5024,no,yes,cellular,20,apr,1028,1,-1,0,failure,vidar,3361102
30,technician,married,tertiary,no,94,no,no,cellular,23,oct,897,1,255,0,failure,bhaskar,3358053
31,technician,divorced,secondary,no,973,yes,no,cellular,21,jan,79,4,-1,7,unknown,jeane,3353573
38,blue-collar,single,secondary,no,569,no,yes,telephone,27,may,354,2,-1,0,unknown,noemi,3360244
61,blue-collar,married,tertiary,no,183,yes,no,cellular,16,may,7,1,-1,2,failure,miha,3350223
35,management,single,primary,no,242,yes,no,unknown,16,feb,268,1,147,0,success,felipa,3352573
34,services,married,tertiary,no,625,yes,no,cellular,16,aug,181,1,-1,6,unknown,lanny,3357563
33,technician,single,tertiary,no,555,no,yes,cellular,11,may,212,3,-1,2,unknown,jaywant,3353345
39,admin.,married,tertiary,no,9,yes,no,telephone,15,nov,117,2,-1,0,failure,ru,3354821
45,technician,divorced,primary,no,1459,yes,no,telephone,5,apr,177,2,-1,0,unknown,izz-ed-din,3356712
39,management,divorced,tertiary,no,740,yes,no,cellular,18,may,166,2,-1,2,unknown,sorley,3357204
27,management,single,primary,no,1,yes,no,cellular,3,may,145,6,-1,1,unknown,varius,3358108
30,blue-collar,married,unknown,no,0,no,no,unknown,20,may,116,2,-1,12,unknown,raimonda,3351976
53,services,divorced,unknown,no,75,no,no,cellular,11,jul,226,4,194,0,unknown,franciska,3355944
41,technician,married,secondary,no,3494,no,no,cellular,17,aug,848,1,-1,0,unknown,panfilo,3350094
46,unemployed,single,secondary,no,2770,no,no,cellular,27,jul,292,1,-1,0,unknown,leokadia,3360666
35,services,single,secondary,no,256,no,no,cellular,13,nov,438,1,180,0,unknown,twdor,3359364
64,technician,single,tertiary,no,1304,yes,no,cellular,13,may,56,2,-1,0,unknown,aleksi,3357560
32,admin.,single,secondary,no,143,yes,no,cellular,28,jul,290,1,-1,0,success,adora,3350547
36,blue-collar,married,tertiary,no,1273,yes,no,cellular,11,aug,165,2,-1,0,unknown,salut,3358773
29,admin.,married,unknown,no,0,yes,yes,cellular,1,aug,189,4,-1,6,unknown,graziano,3354536
47,retired,single,secondary,no,486,yes,yes,cellular,26,jan,287,12,100,3,unknown,elric,3351537
54,blue-collar,married,secondary,no,3382,no,no,cellular,20,mar,555,4,371,0,success,lyssa,3356013
41,technician,married,secondary,no,3158,no,no,unknown,6,jun,173,2,167,0,unknown,taskill,3355931
41,retired,married,secondary,no,102,no,yes,cellular,11,may,125,1,-1,0,unknown,sheridan,3356879
54,admin.,married,tertiary,no,2,yes,no,unknown,16,may,152,1,-1,0,unknown,matteo,3360199
33,blue-collar,single,primary,no,348,yes,no,cellular,21,mar,164,3,184,0,unknown,celestina,3354647
35,blue-collar,single,primary,no,3254,no,yes,cellular,7,may,213,1,-1,0,success,lakshmi,3360987
45,services,married,primary,no,-46,no,no,unknown,21,aug,20,3,-1,0,failure,edmund,3359235
29,admin.,married,secondary,no,6,no,no,cellular,11,jun,104,3,-1,0,unknown,amhlaoibh,3350757
46,services,married,secondary,no,1996,no,no,cellular,27,may,1175,1,183,0,unknown,arisu,3354241
55,student,married,primary,no,179,no,no,cellular,13,nov,1360,1,-1,0,unknown,petre,3359732
29,self-employed,single,secondary,no,4654,yes,no,cellular,21,may,273,2,-1,0,failure,tero,3353431
31,admin.,single,secondary,no,287,no,no,cellular,13,aug,250,6,-1,0,success,tancred,3352416
28,retired,married,unknown,no,0,yes,no,cellular,20,may,205,1,-1,1,unknown,antonius,3353979
36,retired,married,primary,no,2715,no,no,cellular,5,jul,660,1,412,0,other,enrico,3352159
33,retired,married,tertiary,no,505,no,no,cellular,13,jul,272,3,-1,0,unknown,finnian,3356508
37,admin.,single,tertiary,no,1218,yes,no,cellular,12,jul,75,3,-1,0,unknown,cassandra,3351607
50,blue-collar,married,secondary,no,1173,no,no,cellular,12,may,1491,2,364,4,unknown,azalea,3353838
33,management,married,tertiary,no,4527,yes,yes,cellular,7,may,7,2,-1,2,unknown,neus,3352610
35,blue-collar,married,secondary,no,3,yes,no,cellular,12,may,19,1,-1,0,unknown,kjell,3355554
36,retired,married,secondary,no,17924,yes,no,cellular,12,may,542,1,-1,0,failure,victorius,3355942
70,housemaid,single,secondary,no,2344,no,no,unknown,22,may,12,6,-1,0,unknown,foka,3360371
59,blue-collar,married,secondary,no,3203,no,no,unknown,21,aug,580,1,-1,0,unknown,tomaz,3357473
28,retired,married,tertiary,no,-125,no,no,cellular,11,may,62,1,-1,2,failure,essa,3360422
59,management,married,secondary,no,655,no,no,cellular,26,apr,178,2,82,0,unknown,gertrud,3358391
46,management,single,secondary,no,0,yes,no,unknown,12,jun,419,2,122,0,unknown,spyridon,3351247
30,unemployed,married,secondary,no,2038,no,no,cellular,21,may,373,1,-1,0,unknown,glenice,3350506
59,services,single,primary,no,0,yes,no,unknown,26,aug,120,6,-1,3,unknown,mahinder,3355531
46,services,married,secondary,no,154,no,no,cellular,7,oct,465,1,-1,0,success,kristóf,3355391
35,services,married,secondary,no,880,no,no,cellular,12,may,38,2,-1,3,failure,hotaka,3351028
34,blue-collar,married,tertiary,no,2413,no,no,cellular,19,may,234,1,-1,0,unknown,shawna,3352840
55,management,married,secondary,no,79,no,no,cellular,5,apr,117,1,422,0,failure,abednego,3358886
45,technician,single,secondary,no,738,yes,no,cellular,26,may,135,1,-1,2,other,kaj,3351060
53,management,married,secondary,no,855,yes,no,cellular,14,apr,237,1,-1,0,unknown,patroclus,3356281
85,retired,married,secondary,no,-6,no,no,unknown,13,may,127,2,-1,1,failure,aikaterine,3350091
58,technician,married,secondary,yes,4053,no,no,cellular,12,jun,226,2,-1,0,unknown,frederico,3359199
37,services,single,secondary,no,406,no,no,unknown,9,apr,489,1,-1,0,unknown,marcie,3350776
31,management,divorced,secondary,no,3727,yes,no,cellular,8,feb,143,1,-1,1,unknown,elba,3352743
33,admin.,single,secondary,no,890,yes,no,unknown,16,apr,216,1,-1,0,unknown,vera,3351197
83,management,divorced,secondary,no,17964,yes,no,telephone,23,jul,216,2,-1,0,unknown,baldassare,3352060
27,student,married,secondary,no,3499,yes,no,cellular,23,apr,156,2,-1,0,unknown,vencel,3357257
44,admin.,single,secondary,no,82,no,no,cellular,30,jun,281,1,291,1,unknown,narayan,3351666
58,management,married,secondary,yes,0,yes,no,cellular,27,jul,376,1,-1,0,unknown,dong,3358890
40,management,single,primary,no,1441,no,no,cellular,31,aug,574,1,-1,1,unknown,ustinya,3355646
44,services,divorced,secondary,no,3403,no,no,cellular,26,aug,698,4,186,0,unknown,alfeo,3360639
22,technician,single,tertiary,no,159,no,no,cellular,21,aug,1039,8,-1,0,unknown,johar,3360958
58,management,married,secondary,no,1830,yes,no,unknown,23,aug,88,4,-1,3,unknown,laverna,3357520
46,blue-collar,married,secondary,no,2929,yes,no,cellular,14,may,344,1,-1,0,unknown,royle,3360923
60,management,married,secondary,no,8564,yes,no,cellular,18,may,1143,1,-1,3,unknown,sofija,3355813
25,technician,divorced,secondary,no,7811,no,no,telephone,13,feb,579,1,-1,0,unknown,sela,3350233
36,technician,married,secondary,no,0,yes,no,cellular,11,may,308,1,-1,8,unknown,giustina,3359476
23,management,married,tertiary,no,206,no,yes,telephone,18,nov,351,2,-1,2,failure,lan,3352420
46,management,married,tertiary,no,346,no,no,cellular,3,may,153,2,-1,0,unknown,heledd,3352124
31,blue-collar,married,unknown,no,62,yes,no,telephone,9,jul,869,1,-1,0,other,talbot,3356997
33,management,single,secondary,no,255,no,no,cellular,9,jul,371,1,-1,2,unknown,samson,3359009
40,unemployed,single,secondary,no,117,yes,yes,unknown,6,oct,545,1,-1,0,unknown,pedro,3360436
35,management,married,primary,no,10269,no,no,cellular,17,apr,150,1,-1,0,success,kreszentia,3355187
32,services,single,tertiary,no,75,yes,no,cellular,13,apr,445,2,-1,0,other,águeda,3359424
43,management,married,secondary,no,330,no,no,telephone,20,jun,922,3,-1,0,unknown,keoni,3358306
41,admin.,single,tertiary,no,660,no,yes,cellular,28,nov,245,1,-1,0,unknown,patrizio,3357864
55,management,divorced,tertiary,no,1734,yes,no,cellular,19,jul,78,2,-1,0,unknown,clarette,3358561
39,retired,married,secondary,no,1230,no,no,telephone,16,nov,956,4,-1,0,failure,dinesh,3356662
35,technician,divorced,secondary,no,280,yes,yes,cellular,23,may,222,2,57,3,unknown,palmira,3350300
51,admin.,divorced,secondary,no,2982,yes,no,telephone,6,feb,61,6,99,0,unknown,dawud,3359183
29,retired,married,primary,no,5073,no,no,telephone,10,may,61,2,-1,0,unknown,oved,3359131
33,blue-collar,married,secondary,no,1004,no,no,unknown,6,may,228,1,150,0,unknown,bertók,3360973
38,entrepreneur,divorced,secondary,no,300,yes,no,cellular,22,jul,1242,1,-1,0,unknown,jana,3356458
55,unknown,divorced,unknown,no,108,yes,no,cellular,30,jun,660,1,-1,0,unknown,cherice,3360593
38,technician,married,tertiary,no,536,no,no,cellular,22,jun,427,3,-1,0,unknown,almas,3355078
44,technician,married,secondary,no,13,yes,no,cellular,14,may,1598,1,-1,0,unknown,takumi,3360888
30,technician,single,tertiary,no,2812,no,no,cellular,19,may,772,2,-1,0,unknown,heida,3350855
36,management,married,secondary,no,686,yes,yes,cellular,11,may,190,1,-1,0,unknown,gwilym,3350581
45,services,married,unknown,yes,2160,yes,no,cellular,5,apr,863,3,-1,0,unknown,henrietta,3357805
33,housemaid,single,tertiary,no,11262,yes,yes,cellular,14,jan,1386,3,-1,0,failure,jolanta,3353439
36,management,single,secondary,no,0,yes,no,cellular,13,jul,64,3,-1,1,unknown,lilia,3355672
35,self-employed,divorced,secondary,no,271,no,no,cellular,14,jul,166,1,-1,0,unknown,renáta,3360523
32,blue-collar,married,secondary,no,703,no,no,unknown,14,nov,339,2,555,1,success,shin,3356130
38,admin.,married,primary,no,3466,yes,yes,cellular,18,apr,137,3,-1,0,unknown,pacifica,3360039
43,housemaid,married,primary,no,376,no,no,cellular,7,apr,325,1,-1,0,success,giacinto,3359358
57,technician,married,unknown,no,0,yes,no,unknown,19,may,50,3,-1,3,unknown,honora,3360755
46,blue-collar,married,secondary,no,4216,yes,no,telephone,9,oct,100,2,-1,0,success,arne (2),3355146
23,management,married,tertiary,no,1127,yes,no,cellular,27,may,582,2,-1,0,unknown,ilia,3354900
44,technician,married,primary,no,7702,yes,no,cellular,19,feb,231,2,93,1,unknown,georgi,3359071
74,admin.,divorced,primary,no,2666,yes,no,cellular,9,apr,701,3,-1,0,unknown,sachiko,3357501
35,admin.,married,tertiary,no,192,no,no,unknown,6,jul,483,5,177,3,unknown,varinius,3355617
29,self-employed,single,secondary,no,5741,yes,no,unknown,23,may,1154,3,-1,1,unknown,denzel,3358349
49,admin.,single,secondary,no,372,yes,no,cellular,12,aug,129,1,-1,0,unknown,monifa,3356609
37,blue-collar,married,tertiary,no,708,yes,yes,cellular,18,jul,179,18,-1,4,success,beppe,3357725
39,services,married,tertiary,no,52,no,no,cellular,9,nov,1174,3,323,0,unknown,mckenzie,3357166
33,management,married,secondary,no,239,no,yes,unknown,29,may,856,3,-1,0,unknown,proserpina,3351680
51,unknown,married,tertiary,no,-1636,no,no,cellular,9,jun,132,2,-1,0,unknown,septima,3356135
28,blue-collar,single,secondary,no,3572,no,no,cellular,4,may,166,1,-1,0,unknown,shell,3354361
38,blue-collar,divorced,secondary,no,3338,yes,no,cellular,30,may,25,1,-1,0,unknown,rhonwen,3351335
31,management,single,secondary,no,22,no,no,cellular,21,may,30,1,-1,2,failure,isobel,3356718
73,blue-collar,married,secondary,no,-357,no,no,cellular,13,feb,182,3,-1,0,unknown,taegan,3360573
64,services,married,unknown,no,455,no,no,cellular,2,feb,38,3,344,2,unknown,amédée,3356206
49,retired,married,secondary,no,2580,yes,no,unknown,15,oct,158,18,-1,2,unknown,trudie,3359724
31,blue-collar,married,secondary,no,647,yes,no,unknown,30,may,512,1,195,0,unknown,kari (1),3357822
